array_size=262144 	STRIDE=4 	avgMISSES=0.062532 	avgTIME=0.000725
array_size=262144 	STRIDE=8 	avgMISSES=0.125063 	avgTIME=0.000729
array_size=262144 	STRIDE=16 	avgMISSES=0.250099 	avgTIME=0.000785
array_size=262144 	STRIDE=32 	avgMISSES=0.500056 	avgTIME=0.001069
array_size=262144 	STRIDE=64 	avgMISSES=1.000013 	avgTIME=0.002127
array_size=262144 	STRIDE=128 	avgMISSES=1.000021 	avgTIME=0.002118
array_size=262144 	STRIDE=256 	avgMISSES=1.002111 	avgTIME=0.002119
array_size=262144 	STRIDE=512 	avgMISSES=1.011590 	avgTIME=0.002041
array_size=262144 	STRIDE=1024 	avgMISSES=2.028992 	avgTIME=0.003435
array_size=262144 	STRIDE=2048 	avgMISSES=2.108503 	avgTIME=0.004706
array_size=262144 	STRIDE=4096 	avgMISSES=3.126547 	avgTIME=0.007126
array_size=262144 	STRIDE=8192 	avgMISSES=2.088635 	avgTIME=0.005673
array_size=262144 	STRIDE=16384 	avgMISSES=1.150059 	avgTIME=0.004236
array_size=262144 	STRIDE=32768 	avgMISSES=0.000002 	avgTIME=0.001119
array_size=262144 	STRIDE=65536 	avgMISSES=0.000000 	avgTIME=0.000930
array_size=262144 	STRIDE=131072 	avgMISSES=0.000000 	avgTIME=0.000929
array_size=524288 	STRIDE=1 	avgMISSES=0.015591 	avgTIME=0.000727
array_size=524288 	STRIDE=2 	avgMISSES=0.031258 	avgTIME=0.000726
array_size=524288 	STRIDE=4 	avgMISSES=0.062516 	avgTIME=0.000727
array_size=524288 	STRIDE=8 	avgMISSES=0.125032 	avgTIME=0.000733
array_size=524288 	STRIDE=16 	avgMISSES=0.250050 	avgTIME=0.000821
array_size=524288 	STRIDE=32 	avgMISSES=0.500031 	avgTIME=0.001219
array_size=524288 	STRIDE=64 	avgMISSES=1.000007 	avgTIME=0.002426
array_size=524288 	STRIDE=128 	avgMISSES=1.000013 	avgTIME=0.002567
array_size=524288 	STRIDE=256 	avgMISSES=1.001308 	avgTIME=0.002647
array_size=524288 	STRIDE=512 	avgMISSES=1.009514 	avgTIME=0.002339
array_size=524288 	STRIDE=1024 	avgMISSES=2.010154 	avgTIME=0.003653
array_size=524288 	STRIDE=2048 	avgMISSES=2.005625 	avgTIME=0.005065
array_size=524288 	STRIDE=4096 	avgMISSES=1.982286 	avgTIME=0.008015
array_size=524288 	STRIDE=8192 	avgMISSES=2.649830 	avgTIME=0.007168
array_size=524288 	STRIDE=16384 	avgMISSES=2.027647 	avgTIME=0.006465
array_size=524288 	STRIDE=32768 	avgMISSES=1.137310 	avgTIME=0.004789
array_size=524288 	STRIDE=65536 	avgMISSES=0.000003 	avgTIME=0.001966
array_size=524288 	STRIDE=131072 	avgMISSES=0.000000 	avgTIME=0.002367
array_size=524288 	STRIDE=262144 	avgMISSES=0.000000 	avgTIME=0.000932
