array_size=131072 	STRIDE=1 	avgMISSES=0.000023 	avgTIME=0.000919
array_size=131072 	STRIDE=2 	avgMISSES=0.000017 	avgTIME=0.000736
array_size=131072 	STRIDE=4 	avgMISSES=0.000011 	avgTIME=0.000736
array_size=131072 	STRIDE=8 	avgMISSES=0.000015 	avgTIME=0.000737
array_size=131072 	STRIDE=16 	avgMISSES=0.000009 	avgTIME=0.000768
array_size=131072 	STRIDE=32 	avgMISSES=0.000023 	avgTIME=0.000954
array_size=131072 	STRIDE=64 	avgMISSES=0.000017 	avgTIME=0.001926
array_size=131072 	STRIDE=128 	avgMISSES=0.000014 	avgTIME=0.001913
array_size=131072 	STRIDE=256 	avgMISSES=0.000009 	avgTIME=0.001929
array_size=131072 	STRIDE=512 	avgMISSES=0.000005 	avgTIME=0.001929
array_size=131072 	STRIDE=1024 	avgMISSES=0.000001 	avgTIME=0.003202
array_size=131072 	STRIDE=2048 	avgMISSES=0.000001 	avgTIME=0.004346
array_size=131072 	STRIDE=4096 	avgMISSES=0.000002 	avgTIME=0.005685
array_size=131072 	STRIDE=8192 	avgMISSES=0.000001 	avgTIME=0.003893
array_size=131072 	STRIDE=16384 	avgMISSES=0.000000 	avgTIME=0.001130
array_size=131072 	STRIDE=32768 	avgMISSES=-0.000000 	avgTIME=0.000924
array_size=131072 	STRIDE=65536 	avgMISSES=0.000000 	avgTIME=0.000943
array_size=262144 	STRIDE=1 	avgMISSES=0.000478 	avgTIME=0.000732
array_size=262144 	STRIDE=2 	avgMISSES=0.000854 	avgTIME=0.000730
array_size=262144 	STRIDE=4 	avgMISSES=0.001666 	avgTIME=0.000732
array_size=262144 	STRIDE=8 	avgMISSES=0.005466 	avgTIME=0.000733
array_size=262144 	STRIDE=16 	avgMISSES=0.023594 	avgTIME=0.000792
array_size=262144 	STRIDE=32 	avgMISSES=0.145216 	avgTIME=0.001081
array_size=262144 	STRIDE=64 	avgMISSES=0.264829 	avgTIME=0.002142
array_size=262144 	STRIDE=128 	avgMISSES=0.336070 	avgTIME=0.002224
array_size=262144 	STRIDE=256 	avgMISSES=0.382577 	avgTIME=0.002173
array_size=262144 	STRIDE=512 	avgMISSES=0.471815 	avgTIME=0.002047
array_size=262144 	STRIDE=1024 	avgMISSES=0.505680 	avgTIME=0.003475
array_size=262144 	STRIDE=2048 	avgMISSES=0.532251 	avgTIME=0.004732
array_size=262144 	STRIDE=4096 	avgMISSES=0.666693 	avgTIME=0.006958
array_size=262144 	STRIDE=8192 	avgMISSES=0.000001 	avgTIME=0.005693
array_size=262144 	STRIDE=16384 	avgMISSES=0.000001 	avgTIME=0.003933
array_size=262144 	STRIDE=32768 	avgMISSES=0.000000 	avgTIME=0.001140
array_size=262144 	STRIDE=65536 	avgMISSES=0.000000 	avgTIME=0.000916
array_size=262144 	STRIDE=131072 	avgMISSES=-0.000000 	avgTIME=0.000940
array_size=524288 	STRIDE=1 	avgMISSES=0.000662 	avgTIME=0.000734
array_size=524288 	STRIDE=2 	avgMISSES=0.001070 	avgTIME=0.000736
array_size=524288 	STRIDE=4 	avgMISSES=0.002267 	avgTIME=0.000738
array_size=524288 	STRIDE=8 	avgMISSES=0.008306 	avgTIME=0.000736
array_size=524288 	STRIDE=16 	avgMISSES=0.042565 	avgTIME=0.000819
