1  0.000097  0.000062  0.000180  0.015624  0.015605  0.015596  0.015591 
2  0.000080  0.000049  0.000184  0.031314  0.031282  0.031266  0.031258 
4  0.000049  0.000059  0.001415  0.062625  0.062563  0.062532  0.062516 
8  0.000040  0.000057  0.002457  0.125250  0.125127  0.125063  0.125032 
16  0.000031  0.000058  0.004556  0.250418  0.250209  0.250099  0.250050 
32  0.000041  0.000044  0.007565  0.500081  0.500039  0.500056  0.500031 
64  0.000027  0.000054  0.000316  1.000020  1.000009  1.000013  1.000007 
128  0.000014  0.000029  0.019691  1.000032  1.000015  1.000021  1.000013 
256  0.000007  0.000013  0.000043  0.999983  1.000026  1.002111  1.001308 
512  0.000004  0.000005  0.049827  0.999892  1.002339  1.011590  1.009514 
1024  0.000003  0.000004  0.000077  2.006063  2.053130  2.028992  2.010154 
2048  0.000002  0.000002  0.000007  1.096477  2.082619  2.108503  2.005625 
4096  0.000001  0.000002  0.000006  1.068927  2.066295  3.126547  1.982286 
8192  0.0 0.000001  0.000004  0.000230  1.170206  2.088635  2.649830 
16384  0.0 0.0 0.000002  0.000000  0.000004  1.150059  2.027647 
32768  0.0 0.0 0.0 0.000000  0.000000  0.000002  1.137310 
65536  0.0 0.0 0.0 0.0 0.000000  0.000000  0.000003 
131072  0.0 0.0 0.0 0.0 0.0 0.000000  0.000000 
262144  0.0 0.0 0.0 0.0 0.0 0.0 0.000000 
